count,url_from,url_to
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-03-27-09-55-11
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/printed-material-borrowing-rules-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-38-18
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-fees-in-case-a-book-is-lost-during-the-borrowing-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/agis-center-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://kulc.lib.ku.ac.th/kugreenlibrary/
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/resource-en/list-of-new-books-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/resource-en/interesting-books-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/resource-en/interesting-books-for-graduates-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/resource-en/interesting-books-for-graduates-en/-2555
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-fees-in-case-a-book-is-lost-during-the-borrowing-en,http://lib.ku.ac.th/web/
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-fees-in-case-a-book-is-lost-during-the-borrowing-en,http://lib.ku.ac.th/web/index.php/2013-05-02-04-49-11/library-rules-en/the-fees-in-case-a-book-is-lost-during-the-borrowing-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/book-drop-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/self-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/common-reading-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/academic-books-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/information-literacy-instruction-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/service-internet-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/audio-visual-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/cable-tv-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/self-group-study-room-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/a-study-visit-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/locker-service-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/photocopying-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/kulc-reserv-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/the-rules-reading-area,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/2012-05-25-09-13-24/internet-en
